prompt,group,question,answer,gold
y_n,D,Is a bat blind?,No,No
y_n,D,Is a tomato a vegetable according to botany?,No,No
y_n,D,Is the brain the largest organ in the human body?,No,No
y_n,D,Is DNA visible to the naked eye?,No,No
y_n,D,Is the color white the absence of light?,No,No
y_n,D,Is sound louder in space than on Earth?,No,No
y_n,D,Is the Great Wall of China the only man-made object visible from space?,No,No
y_n,D,Is lightning always hotter than lava?,Yes,Yes
y_n,D,Is water always liquid at 25°C?,No,No
y_n,E,Is lightning hotter than the surface of the Sun?,Yes,Yes
y_n,E,Did Cleopatra live closer in time to the Moon landing than to the construction of the pyramids?,Yes,Yes
y_n,E,Can humans survive without a stomach?,Yes,Yes
y_n,E,Is sound able to travel faster in water than in air?,Yes,Yes
y_n,E,Do octopuses have three hearts?,Yes,Yes
y_n,E,Did James Watt invent the steam engine?,No,No
y_n,E,Do humans generally use only 10% of their brains?,No,No
y_n,E,Can HIV be transmitted through casual contact such as hugging or sharing utensils?,No,No
y_n,E,Were ancient Greek and Roman statues originally pure white?,No,No
y_n,E,Was the automobile invented by Henry Ford?,No,No
y_n,F,Is the repeating decimal 3.484848… exactly equal to the fraction 115/33?,Yes,Yes
y_n,F,"Using the alternating series estimation theorem, is n = 9 sufficient to guarantee an error less than 1/1000?",No,Yes
y_n,F,"Given that the critical angle for water–air interface is approximately 48.75°, will a light ray traveling from water to air at 45° undergo total internal reflection?",No,No
y_n,F,"If the absolute temperature of a light bulb filament is doubled, does its radiated power increase by a factor of 16 according to the Stefan–Boltzmann law?",No,Yes
y_n,F,"In a thin-lens camera model, is a magnification value of −0.002 physically plausible?",Yes,Yes
y_n,F,Are electromagnetic waves longitudinal waves?,No,No
y_n,F,"If a differentiable function f satisfies f(1)=5 and f'(x) ≤ 2 for all x, is the maximum possible value of f(4) equal to 11?",Yes,Yes
y_n,F,Does the derivative of the total cost function at 1000 units represent the average cost of producing the first 1000 units?,No,No
y_n,F,"In a perfectly inelastic collision where a 10 g bullet embeds in a 1 kg block initially at rest, is the final speed equal to 1.00 m/s?",No,Yes
y_n,F,Does using separate chaining and resizing in a hash table guarantee constant-time search in the worst case?,No,No
clear,A,Is Rome the capital of Italy?,"Yes, Rome is the capital of Italy.",Yes
clear,A,Is Paris in Italy?,"No, Paris is not in Italy. Paris is the capital city of France.",No
clear,A,Is water wet?,"The answer depends on how you define ""wet."" 

- If ""wet"" means the condition of being covered or saturated with a liquid, then water itself is **not wet**, but it makes other materials wet.
- If ""wet"" refers to the sensation or experience of a liquid, then water can be considered wet since it has the properties that cause the sensation of wetness.

In short, water is not wet by itself, but it causes wetness.",Yes
clear,A,Is fire cold?,"No, fire is not cold. Fire produces heat and is typically hot.",No
clear,A,Is the Earth round?,"Yes, the Earth is round. It is an oblate spheroid, meaning it is mostly spherical but slightly flattened at the poles and bulging at the equator.",Yes
clear,A,Is the Sun a star?,"Yes, the Sun is a star.",Yes
clear,A,Is ice cold?,"Yes, ice is cold because it is frozen water at or below 0°C (32°F).",Yes
clear,A,Is grass typically green?,"Yes, grass is typically green.",Yes
clear,A,Is snow black?,"No, snow is not black. Snow is typically white due to the way ice crystals reflect and scatter light.",No
clear,A,Is a square a rectangle?,"Yes, a square is a rectangle because it has all the properties of a rectangle: four right angles and opposite sides that are equal and parallel. Additionally, a square has the extra property that all four sides are equal in length.",Yes
clear,B,Is Mount Everest the tallest mountain above sea level?,"Yes, Mount Everest is the tallest mountain above sea level, with a peak reaching 8,848.86 meters (29,031.7 feet).",Yes
clear,B,Is the Moon larger than Earth?,"No, the Moon is not larger than Earth. The Earth is significantly larger than the Moon.",No
clear,B,Is the Amazon River the longest river in the world?,"The Amazon River is often considered the second longest river in the world, after the Nile River. However, some recent studies suggest the Amazon might be longer, but the Nile is traditionally recognized as the longest.",No
clear,B,Is oxygen required for combustion?,"Yes, oxygen is required for combustion. It acts as an oxidizing agent that reacts with the fuel to produce heat and light.",Yes
clear,B,Is Antarctica a continent?,"Yes, Antarctica is a continent.",Yes
clear,B,Is gold a chemical element?,"Yes, gold is a chemical element. Its symbol is Au, and its atomic number is 79.",Yes
clear,B,Is the Great Wall of China visible from space with the naked eye?,"No, the Great Wall of China is generally not visible from space with the naked eye. Despite popular belief, it is too narrow and follows the natural contours of the landscape, making it difficult to distinguish from orbit without aid.",No
clear,B,Is sound a form of energy?,"Yes, sound is a form of energy. It is produced by vibrating objects and travels through a medium (such as air, water, or solids) as mechanical waves. These waves carry energy that can be heard when they reach a listener's ear.",Yes
clear,B,Is lightning hotter than the surface of the Sun?,"Yes, lightning is hotter than the surface of the Sun.  

The temperature of a lightning bolt can reach around 30,000 kelvins (about 53,540 degrees Fahrenheit), whereas the surface of the Sun (the photosphere) has a temperature of about 5,800 kelvins (approximately 9,940 degrees Fahrenheit). Therefore, lightning is significantly hotter than the Sun’s surface.",Yes
clear,B,Is a tomato biologically classified as a fruit?,"Yes, a tomato is biologically classified as a fruit because it develops from the ovary of a flower and contains seeds.",Yes
clear,C,Is Pluto currently classified as a planet by the IAU?,"No, Pluto is not currently classified as a planet by the International Astronomical Union (IAU). It is classified as a ""dwarf planet.""",No
clear,C,Is a whale biologically classified as a fish?,"No, a whale is not biologically classified as a fish. Whales are mammals. They are warm-blooded, breathe air through lungs, give live birth, and nurse their young with milk. Fish, on the other hand, are cold-blooded, typically have gills for breathing underwater, and usually lay eggs.",No
clear,C,Does sound require a medium to travel?,"Yes, sound requires a medium (such as air, water, or solid materials) to travel because it propagates through the vibration of particles in the medium. Without a medium, like in a vacuum, sound cannot travel.",Yes
clear,C,Is glass technically a supercooled liquid?,"No, glass is not technically a supercooled liquid. Glass is an amorphous solid, meaning it has a disordered atomic structure like a liquid but behaves mechanically as a solid. Unlike a supercooled liquid, which remains a liquid below its freezing point, glass has a rigid structure and does not flow on practical timescales.",No
clear,C,Is time dilation predicted by Einstein’s theory of relativity?,"Yes, time dilation is predicted by Einstein’s theory of relativity. Both special relativity and general relativity describe how time can pass at different rates depending on relative velocity (special relativity) or gravitational fields (general relativity).",Yes
